"from","to"
"CL_0000988","CL_0008001"
"CL_0008001","CL_0000837"
"CL_0000763","CL_0000764"
"CL_0000988","CL_0000763"
"CL_0000763","CL_0000556"
"CL_0000764","CL_0000232"
"CL_0002032","CL_0000050"
"CL_0008001","CL_0002032"
"CL_0008001","CL_0000037"
"CL_0001012","CL_0000557"
"CL_0001060","CL_0001012"
"CL_0002032","CL_0001060"
"CL_0000763","CL_0000233"
"CL_0000766","CL_0000235"
"CL_0000738","CL_0000766"
"CL_0000988","CL_0000738"
"CL_0002032","CL_0000049"
"CL_0000837","CL_0002043"
"CL_0000094","CL_0000775"
"CL_0000766","CL_0000094"
"CL_0000094","CL_0000771"
"CL_0001201","CL_0000785"
"CL_0000236","CL_0001201"
"CL_0000945","CL_0000236"
"CL_0000542","CL_0000945"
"CL_0000842","CL_0000542"
"CL_0000738","CL_0000842"
"CL_0002032","CL_0000051"
"CL_0000842","CL_0000451"
"CL_0000766","CL_0000576"
"CL_0000990","CL_0000782"
"CL_0000451","CL_0000990"
"CL_0000451","CL_0000784"
"CL_0000775","CL_0000096"
"CL_0000576","CL_0000860"
"CL_0000785","CL_0000787"
"CL_0000785","CL_0000980"
"CL_0000782","CL_0002399"
"CL_0000767","CL_0000043"
"CL_0000094","CL_0000767"
"CL_0000576","CL_0002393"
"CL_0000785","CL_0000788"
"CL_0000576","CL_0000875"
"CL_0000784","CL_0002394"
"CL_0000542","CL_0001065"
"CL_0000861","CL_0000863"
"CL_0000235","CL_0000861"
"CL_0000860","CL_0002057"
"CL_0000875","CL_0002396"
"CL_0000787","CL_0000970"
"CL_0000084","CL_0000798"
"CL_0000542","CL_0000084"
"CL_0000861","CL_0000890"
"CL_0000787","CL_0000972"
"CL_0000946","CL_0000786"
"CL_0000945","CL_0000946"
"CL_0001067","CL_0000623"
"CL_0001065","CL_0001067"
"CL_0002419","CL_0000815"
"CL_0000084","CL_0002419"
"CL_0000791","CL_0000624"
"CL_0002419","CL_0000791"
"CL_0000625","CL_0000900"
"CL_0000791","CL_0000625"
"CL_0000625","CL_0001050"
"CL_0000625","CL_0000909"
"CL_0000624","CL_0000897"
"CL_0000624","CL_0000895"
"CL_0000791","CL_0000940"
"CL_0000624","CL_0001044"
"CL_0000624","CL_0000896"
"CL_0000824","CL_0000939"
"CL_0000623","CL_0000824"
"CL_0000909","CL_0001062"
"CL_0000797","CL_0000935"
"CL_0000791","CL_0000797"
"CL_0000625","CL_0000906"
"CL_0000824","CL_0000938"
"CL_0000624","CL_0000934"
"CL_0001204","CL_0000904"
"CL_0000897","CL_0001204"
"CL_0001203","CL_0000913"
"CL_0000909","CL_0001203"
"CL_0000492","CL_0002038"
"CL_0000624","CL_0000492"
"CL_0001203","CL_0000907"
"CL_0001204","CL_0000905"
"CL_0000492","CL_0000545"
"CL_0000492","CL_0000546"
"CL_0000492","CL_0000899"
"CL_0000791","CL_0000814"
"CL_0000766","CL_0000097"
